emp_no,title,salary
106482,Senior Staff,77323
106483,Senior Staff,48272
106484,Senior Staff,86775
106487,Senior Engineer,61975
106489,Staff,49206
106493,Senior Staff,40000
106497,Engineer,45972
106499,Technique Leader,68960
106501,Senior Staff,40000
106504,Technique Leader,40000
106508,Engineer,40000
106510,Engineer,46297
106515,Engineer,40000
106516,Engineer,51453
106520,Senior Staff,59681
106521,Senior Staff,47577
106523,Engineer,40000
106527,Senior Staff,40000
106531,Engineer,51029
106532,Technique Leader,47147
106534,Senior Engineer,40000
106536,Engineer,40000
106537,Staff,40000
106541,Senior Staff,62253
106547,Senior Engineer,62082
106548,Staff,40000
106552,Engineer,49915
106555,Engineer,72049
106558,Engineer,41656
106559,Staff,73388
106560,Technique Leader,40000
106561,Staff,40000
106565,Engineer,40000
106567,Engineer,40000
106569,Senior Engineer,40000
106571,Engineer,49226
106577,Senior Staff,74295
106582,Assistant Engineer,43391
106583,Senior Staff,40000
106584,Engineer,40000
106587,Engineer,40000
106588,Senior Engineer,41806
106589,Engineer,72652
106591,Engineer,41831
106592,Senior Staff,40000
106605,Staff,40000
106606,Engineer,40000
106611,Engineer,40000
106612,Technique Leader,51704
106616,Senior Engineer,40000
106617,Senior Staff,40000
106623,Engineer,40000
106629,Engineer,46301
106630,Senior Staff,101633
106631,Engineer,53822
106633,Engineer,40000
106634,Senior Staff,77974
106645,Assistant Engineer,59196
106647,Senior Staff,58987
106648,Engineer,55524
106650,Technique Leader,50297
106654,Senior Staff,67710
106657,Senior Staff,67933
106659,Engineer,59685
106661,Engineer,60061
106667,Engineer,50340
106669,Engineer,59503
106670,Senior Staff,53246
106671,Senior Staff,47893
106678,Senior Staff,42908
106679,Assistant Engineer,40500
106680,Senior Staff,63845
106684,Senior Staff,70215
106687,Technique Leader,40000
106690,Senior Engineer,40963
106698,Technique Leader,64759
106703,Engineer,40000
106707,Senior Staff,69081
106709,Engineer,44637
106711,Staff,64753
106715,Senior Engineer,40000
106718,Senior Staff,40000
106719,Senior Staff,76724
106721,Engineer,53043
106722,Assistant Engineer,54610
106725,Staff,79225
106730,Engineer,41257
106736,Engineer,41285
106737,Engineer,56136
106743,Engineer,40000
106751,Staff,94725
106756,Staff,71811
106764,Senior Staff,41988
106770,Senior Staff,76622
106773,Engineer,45174
106775,Senior Staff,45570
106777,Senior Staff,60627
106779,Staff,61427
106782,Senior Staff,40000
106788,Senior Staff,40000
106790,Engineer,40000
106795,Assistant Engineer,40858
106797,Engineer,58863
106798,Senior Engineer,59998
106802,Senior Staff,58211
106807,Engineer,53353
106815,Staff,40000
106819,Senior Staff,50336
106824,Senior Engineer,53706
106826,Senior Staff,82436
106828,Senior Staff,59127
106832,Staff,58302
106834,Senior Staff,62543
106836,Senior Staff,49410
106837,Senior Staff,72614
106838,Senior Staff,60711
106843,Engineer,64995
106845,Engineer,43858
106846,Senior Staff,60305
106847,Assistant Engineer,40000
106848,Senior Engineer,40000
106850,Engineer,40000
106852,Engineer,54303
106860,Engineer,59793
106866,Engineer,51325
106867,Technique Leader,40000
106868,Senior Engineer,70730
106869,Senior Staff,43859
106871,Engineer,40000
106875,Engineer,40668
106876,Senior Staff,87356
106877,Senior Staff,56319
106879,Engineer,54048
106885,Engineer,70041
106886,Engineer,40000
106890,Senior Staff,75191
106891,Staff,40000
106897,Senior Staff,86978
106902,Staff,62833
106914,Senior Staff,40000
106916,Engineer,42468
106925,Assistant Engineer,40000
106926,Technique Leader,51677
106927,Senior Engineer,40000
106928,Engineer,50376
106930,Engineer,43803
106933,Senior Staff,89360
106935,Senior Staff,78007
106941,Staff,80766
106942,Senior Staff,50073
106943,Engineer,46746
106946,Senior Staff,100204
106947,Engineer,49407
106949,Staff,40000
106953,Senior Staff,51195
106968,Senior Engineer,40000
106971,Senior Staff,86162
106981,Assistant Engineer,40000
106983,Engineer,40000
106985,Engineer,40000
106987,Senior Staff,40000
106988,Engineer,56543
106992,Senior Staff,96871
106994,Assistant Engineer,54805
106996,Technique Leader,40000
106998,Staff,78151
106999,Staff,69075
107000,Technique Leader,58611
107002,Engineer,40000
107009,Staff,57437
107011,Staff,84601
107012,Senior Staff,56263
107017,Engineer,46157
107018,Senior Engineer,40000
107019,Senior Staff,81407
107020,Engineer,73433
107025,Engineer,44790
107027,Engineer,58504
107032,Senior Staff,84400
107033,Engineer,40000
107038,Technique Leader,40000
107039,Staff,72548
107047,Senior Staff,60261
107048,Engineer,40000
107049,Senior Engineer,55879
107051,Senior Engineer,78085
107052,Engineer,53339
107053,Senior Staff,40000
107062,Senior Staff,43874
107065,Staff,40000
107067,Staff,40000
107070,Engineer,58608
107076,Engineer,73189
107077,Engineer,40000
107082,Senior Staff,50894
107090,Engineer,43398
107097,Staff,79614
107101,Engineer,40232
107103,Senior Staff,57771
107106,Senior Staff,40000
107110,Engineer,54147
107113,Senior Staff,65971
107118,Senior Staff,40000
107119,Technique Leader,40000
107127,Senior Engineer,47841
107131,Technique Leader,45823
107134,Engineer,40000
107135,Engineer,40000
107136,Staff,58263
107137,Senior Engineer,40000
107145,Senior Staff,40000
107151,Senior Staff,40823
107160,Engineer,48722
107164,Engineer,55492
107171,Senior Engineer,63842
107172,Senior Staff,41976
107173,Engineer,66709
107178,Senior Engineer,50811
107193,Engineer,52391
107195,Senior Staff,48832
107199,Senior Staff,79763
107203,Engineer,68151
107205,Senior Engineer,56416
107209,Senior Staff,40000
107212,Engineer,40000
107224,Staff,77936
107225,Engineer,53143
107227,Engineer,40000
107240,Staff,82283
107245,Senior Staff,68492
107246,Engineer,40000
107249,Assistant Engineer,40000
107253,Engineer,40000
107254,Senior Engineer,40000
107256,Senior Engineer,53404
107257,Staff,84999
107258,Staff,87036
107261,Staff,79080
107262,Assistant Engineer,40000
107264,Engineer,40000
107268,Engineer,54228
107270,Staff,40000
107276,Engineer,40000
107277,Senior Staff,40000
107279,Technique Leader,48433
107285,Senior Staff,40981
107287,Staff,48709
107290,Engineer,48949
107292,Senior Staff,64509
107293,Staff,91575
107295,Staff,58835
107296,Engineer,55069
107302,Engineer,40000
107306,Senior Staff,61483
107307,Senior Staff,48442
107319,Engineer,40000
107320,Engineer,40000
107321,Engineer,40000
107325,Staff,72170
107326,Technique Leader,40000
107327,Staff,46585
107329,Senior Staff,58795
107330,Staff,72573
107332,Senior Staff,74461
107333,Senior Staff,67210
107335,Technique Leader,48283
107340,Assistant Engineer,40000
107341,Senior Staff,43265
107344,Staff,77067
107346,Senior Staff,40000
107347,Senior Staff,40259
107348,Engineer,40000
107349,Engineer,40000
107351,Senior Staff,60453
107359,Senior Staff,69866
107366,Senior Staff,46152
107370,Engineer,40000
107371,Engineer,40000
107380,Senior Staff,43817
107383,Senior Staff,73971
107386,Engineer,40000
107387,Engineer,72267
107390,Engineer,45466
107391,Engineer,75536
107392,Engineer,40000
107399,Staff,77395
107403,Engineer,40747
107406,Staff,61878
107409,Senior Staff,78984
107413,Engineer,40000
107417,Engineer,41262
107422,Engineer,40000
107424,Engineer,60149
107425,Assistant Engineer,60401
107429,Engineer,40000
107430,Staff,115227
107431,Technique Leader,40000
107440,Senior Engineer,55065
107442,Senior Staff,84424
107450,Staff,49562
107451,Engineer,49636
107452,Senior Staff,40771
107456,Senior Staff,40000
107458,Engineer,40000
107466,Technique Leader,40000
107468,Staff,46298
107472,Staff,44877
107473,Senior Engineer,44402
107474,Senior Staff,90921
107476,Senior Staff,40000
107477,Senior Staff,81279
107482,Staff,48557
107487,Senior Engineer,40000
107488,Engineer,40000
107491,Engineer,49177
107492,Senior Staff,40000
107494,Engineer,57805
107495,Staff,61084
107496,Engineer,59420
107500,Senior Staff,76558
107503,Senior Staff,42324
107504,Engineer,40000
107505,Assistant Engineer,62259
107506,Senior Engineer,61252
107508,Senior Staff,91591
107510,Senior Engineer,55099
107512,Engineer,59226
107514,Senior Staff,74256
107517,Staff,69243
107522,Senior Staff,40000
107525,Technique Leader,40353
107526,Engineer,66495
107529,Engineer,40000
107531,Engineer,69532
107533,Staff,94838
107535,Senior Engineer,40000
107540,Senior Staff,56139
107544,Engineer,43896
107545,Senior Engineer,41944
107550,Engineer,48975
107553,Senior Engineer,40000
107554,Senior Staff,77044
107569,Engineer,54032
107570,Senior Staff,40000
107579,Senior Engineer,42590
107584,Senior Staff,93297
107593,Engineer,61143
107595,Staff,89241
107597,Senior Engineer,51414
107599,Staff,40000
107603,Engineer,40017
107604,Engineer,45026
107610,Senior Staff,49896
107616,Engineer,40000
107617,Senior Staff,74122
107618,Senior Staff,40000
107620,Engineer,43390
107623,Engineer,40634
107624,Engineer,43229
107625,Assistant Engineer,40000
107629,Engineer,47923
107636,Senior Engineer,44148
107641,Engineer,40000
107643,Engineer,48040
107645,Engineer,50737
107648,Technique Leader,40000
107653,Senior Staff,40000
107663,Technique Leader,73759
107665,Engineer,40000
107666,Senior Staff,52010
107669,Senior Engineer,40000
107670,Senior Staff,40000
107674,Senior Staff,75985
107680,Senior Staff,61200
107681,Assistant Engineer,55840
107682,Engineer,40000
107684,Senior Staff,86795
107687,Staff,40000
107689,Staff,40000
107693,Staff,74358
107695,Engineer,63683
107697,Engineer,53423
107698,Engineer,40000
107699,Engineer,68707
107702,Engineer,40000
107706,Technique Leader,40000
107709,Engineer,40000
107710,Staff,100158
107711,Technique Leader,55144
107712,Senior Staff,53298
107716,Senior Engineer,62371
107718,Engineer,40000
107720,Senior Engineer,40000
107723,Senior Staff,52189
107727,Senior Staff,59919
107732,Engineer,44224
107741,Engineer,53246
107744,Senior Staff,41042
107746,Staff,65413
107747,Senior Staff,61781
107748,Senior Staff,40000
107751,Staff,46565
107759,Senior Staff,52504
107763,Staff,41509
107764,Engineer,40000
107766,Senior Staff,40000
107776,Senior Staff,61301
107780,Engineer,45786
107782,Senior Staff,40000
107786,Engineer,40000
107791,Staff,40000
107794,Staff,63374
107797,Engineer,43210
107800,Assistant Engineer,66719
107803,Senior Staff,40000
107806,Engineer,40000
107807,Staff,90121
107809,Senior Staff,47582
107810,Engineer,55564
107811,Senior Staff,40000
107816,Senior Engineer,42366
107817,Staff,40000
107821,Staff,56766
107822,Senior Staff,81854
107823,Senior Engineer,63309
107825,Assistant Engineer,40000
107834,Staff,40000
107840,Engineer,74188
107841,Senior Staff,50548
107845,Engineer,44513
107852,Staff,40000
107856,Technique Leader,42401
107858,Staff,41217
107859,Staff,40000
107871,Technique Leader,49163
107873,Senior Staff,75582
107877,Technique Leader,49327
107889,Technique Leader,40000
107892,Engineer,40000
107895,Senior Staff,40000
107901,Senior Staff,65097
107905,Senior Staff,40000
107913,Senior Staff,51125
107914,Engineer,40000
107916,Senior Staff,62714
107919,Staff,61506
107924,Senior Staff,55206
107927,Senior Staff,44219
107929,Engineer,40779
107932,Staff,45769
107933,Senior Staff,68326
107935,Engineer,40000
107936,Senior Staff,79122
107937,Senior Staff,44197
107938,Assistant Engineer,43531
107950,Senior Staff,40000
107951,Engineer,52299
107955,Senior Staff,40000
107956,Engineer,55768
107958,Engineer,42885
107959,Senior Staff,53499
107962,Staff,50106
107964,Senior Staff,40000
107965,Engineer,66742
107967,Senior Staff,55966
107968,Senior Staff,41856
107969,Senior Engineer,53054
107975,Senior Staff,75431
107976,Senior Staff,77527
107982,Senior Staff,80070
107985,Technique Leader,66727
107990,Senior Staff,57973
107996,Senior Staff,77034
107997,Senior Staff,68517
108005,Engineer,42048
108007,Senior Staff,51906
108018,Engineer,55142
108019,Engineer,49942
108020,Technique Leader,57973
108022,Senior Staff,46706
108023,Senior Staff,95998
108028,Engineer,40000
108033,Technique Leader,40000
108034,Engineer,40000
108042,Staff,78644
108045,Staff,88217
108048,Staff,70099
108049,Senior Engineer,43591
108050,Engineer,40421
108052,Engineer,40000
108053,Senior Staff,76316
108060,Senior Engineer,60670
108063,Engineer,40000
108064,Engineer,44249
108070,Senior Staff,58695
108074,Senior Staff,40000
108076,Engineer,40000
108078,Engineer,48361
108081,Senior Staff,40000
108085,Senior Staff,51861
108089,Technique Leader,54847
108092,Engineer,44220
108093,Senior Staff,68461
108096,Senior Engineer,40000
108109,Engineer,49024
108114,Engineer,46169
108117,Engineer,54175
108119,Senior Engineer,67495
108120,Engineer,40000
108121,Engineer,40000
108122,Senior Staff,75832
108125,Senior Staff,69258
108126,Engineer,68011
108128,Engineer,56545
108130,Engineer,40000
108132,Senior Staff,78733
108136,Senior Staff,43687
108137,Engineer,40000
108138,Senior Staff,67590
108139,Engineer,56869
108141,Senior Engineer,59866
108142,Staff,44331
108144,Staff,93385
108148,Engineer,43395
108149,Senior Staff,55107
108150,Engineer,40000
108151,Staff,65347
108153,Senior Staff,57477
108161,Staff,58558
108166,Engineer,47986
108168,Engineer,61416
108176,Engineer,40000
108179,Engineer,54941
108180,Staff,53039
108181,Engineer,54917
108184,Engineer,55766
108187,Engineer,41677
108188,Engineer,40000
108197,Senior Staff,51793
108201,Senior Engineer,57615
108204,Engineer,47345
108205,Senior Staff,45579
108212,Senior Staff,75248
108217,Senior Staff,49154
108218,Engineer,40000
108223,Technique Leader,55782
108227,Engineer,59454
108229,Senior Engineer,41911
108235,Engineer,40000
108237,Engineer,40000
108240,Engineer,40000
108241,Senior Staff,53921
108244,Engineer,47637
108245,Senior Engineer,59780
108246,Senior Staff,58573
108247,Engineer,65433
108251,Engineer,53380
108260,Engineer,40000
108262,Engineer,44889
108279,Senior Engineer,40000
108285,Senior Engineer,42133
108290,Senior Staff,43782
108292,Staff,40000
108293,Engineer,40512
108300,Senior Staff,47077
108304,Senior Staff,83119
108306,Senior Staff,65991
108307,Senior Staff,94766
108317,Engineer,52907
108321,Engineer,48194
108325,Engineer,47639
108326,Staff,91860
108329,Staff,76559
108330,Staff,75022
108332,Senior Engineer,68229
108338,Senior Engineer,53224
108342,Senior Engineer,53078
108349,Engineer,40000
108355,Senior Staff,45102
108358,Engineer,40000
108360,Engineer,40000
108363,Staff,59999
108364,Senior Engineer,59004
108367,Senior Staff,75391
108369,Engineer,53451
108370,Senior Engineer,40000
108372,Senior Staff,73272
108373,Technique Leader,45835
108374,Senior Engineer,40000
108375,Senior Staff,41508
108379,Senior Staff,49854
108381,Staff,40000
108384,Engineer,51592
108390,Staff,95505
108391,Senior Staff,60136
108406,Staff,72133
108408,Technique Leader,41332
108409,Senior Staff,40000
108410,Engineer,40000
108414,Engineer,40000
108416,Staff,91887
108420,Senior Staff,71215
108423,Engineer,46310
108427,Senior Staff,75431
108433,Engineer,40177
108440,Senior Staff,60258
108443,Staff,51927
108447,Staff,54408
108452,Engineer,40000
108453,Assistant Engineer,40000
108458,Engineer,40000
108461,Senior Staff,55988
108465,Staff,61347
108466,Senior Engineer,46484
108474,Engineer,40000
108477,Staff,40000
108478,Engineer,69628
108483,Senior Engineer,53007
108495,Engineer,40000
108496,Staff,82776
108498,Senior Engineer,40000
108502,Senior Engineer,41843
108503,Senior Engineer,65149
108505,Senior Engineer,56139
108506,Staff,92532
108507,Staff,40000
108508,Senior Engineer,40000
108517,Technique Leader,64393
108518,Engineer,63661
108523,Engineer,64745
108524,Senior Engineer,40000
108531,Engineer,40129
108536,Senior Staff,59777
108538,Engineer,70509
108539,Engineer,40000
108541,Senior Staff,40009
108548,Senior Staff,48304
108551,Staff,46713
108557,Engineer,41411
108561,Engineer,40000
108563,Assistant Engineer,47431
108569,Staff,81538
108572,Engineer,40000
108576,Assistant Engineer,40000
108578,Engineer,40000
108585,Engineer,47268
108586,Engineer,40000
108588,Engineer,40000
108595,Engineer,40000
108597,Engineer,40000
108601,Senior Staff,76304
108605,Technique Leader,41494
108612,Engineer,40000
108613,Staff,48734
108616,Engineer,60258
108617,Senior Engineer,43184
108624,Senior Staff,47672
108627,Senior Staff,56920
108630,Staff,65579
108631,Senior Staff,48316
108641,Senior Engineer,41036
108654,Senior Staff,42515
108656,Senior Staff,55062
108661,Senior Engineer,51582
108664,Engineer,40000
108665,Technique Leader,55778
108668,Senior Staff,40000
108669,Technique Leader,40000
108671,Staff,62953
108673,Senior Staff,78042
108676,Senior Staff,40000
108684,Senior Engineer,40000
108685,Engineer,40000
108686,Engineer,40094
108692,Engineer,40000
108693,Staff,40000
108695,Engineer,40000
108700,Senior Staff,41407
108702,Senior Staff,53872
108704,Staff,40000
108706,Senior Staff,44015
108711,Senior Staff,71845
108713,Engineer,40000
108716,Engineer,56037
108717,Engineer,59855
108721,Senior Staff,40000
108722,Senior Staff,76253
108726,Staff,40000
108729,Senior Staff,82598
108731,Senior Staff,80458
108737,Staff,64685
108740,Senior Staff,88151
108746,Staff,99130
108749,Engineer,52541
108752,Engineer,49165
108753,Assistant Engineer,40000
108756,Technique Leader,40000
108758,Senior Staff,69000
108761,Technique Leader,40000
108763,Staff,78160
108765,Engineer,55869
108770,Engineer,46874
108775,Staff,40000
108776,Engineer,45462
108777,Assistant Engineer,73249
108779,Engineer,51524
108786,Senior Engineer,57087
108794,Engineer,40000
108798,Technique Leader,79837
108801,Senior Engineer,56382
108802,Engineer,46404
108808,Engineer,54936
108816,Senior Staff,48605
108819,Senior Engineer,41409
108822,Engineer,55122
108823,Engineer,57527
108824,Engineer,40388
108825,Engineer,65012
108828,Engineer,53688
108829,Engineer,40000
108831,Senior Engineer,40000
108833,Senior Engineer,55838
108839,Engineer,40000
108840,Engineer,45040
108841,Assistant Engineer,40000
108842,Staff,94385
108845,Engineer,40000
108850,Senior Staff,40000
108867,Senior Staff,40000
108871,Senior Staff,61250
108872,Senior Staff,40000
108880,Senior Staff,64373
108881,Engineer,40000
108884,Senior Staff,83699
108887,Senior Engineer,40000
108891,Staff,86860
108893,Engineer,40322
108896,Senior Staff,40000
108897,Senior Staff,50799
108899,Engineer,40000
108906,Assistant Engineer,55182
108909,Engineer,40000
108911,Engineer,40000
108913,Staff,65665
108915,Senior Engineer,40000
108925,Staff,76967
108931,Assistant Engineer,48838
108935,Senior Engineer,40000
108937,Engineer,40000
108939,Senior Staff,69319
108940,Engineer,40000
108945,Engineer,40000
108946,Engineer,56395
108947,Technique Leader,40000
108949,Senior Staff,40000
108950,Engineer,40000
108951,Engineer,53194
108954,Senior Engineer,42648
108956,Engineer,53202
108963,Engineer,53946
108964,Engineer,40000
108969,Senior Engineer,40000
108971,Senior Staff,41544
108977,Technique Leader,40000
108980,Senior Staff,60149
108985,Engineer,59458
108987,Staff,63590
108993,Senior Staff,63698
108994,Technique Leader,40222
108997,Engineer,49656
108998,Engineer,64341
109000,Senior Engineer,41367
109007,Engineer,72888
109010,Assistant Engineer,40000
109015,Senior Engineer,40000
109028,Engineer,40000
109029,Staff,55511
109033,Engineer,40000
109034,Engineer,46526
109036,Technique Leader,49008
109037,Senior Engineer,40000
109046,Engineer,47711
109052,Senior Engineer,65126
109053,Senior Staff,40000
109055,Senior Staff,65117
109056,Senior Engineer,46122
109059,Engineer,86965
109073,Staff,47089
109076,Technique Leader,43536
109080,Senior Staff,43213
109083,Staff,81320
109088,Senior Engineer,41759
109090,Assistant Engineer,57456
109097,Senior Staff,52008
109098,Staff,40000
109101,Staff,85039
109105,Engineer,42016
109106,Assistant Engineer,42128
109107,Engineer,48344
109108,Engineer,40000
109111,Engineer,49338
109114,Assistant Engineer,50256
109115,Senior Engineer,40000
109116,Engineer,58594
109117,Senior Staff,70502
109121,Engineer,43137
109125,Staff,72554
109129,Staff,85273
109138,Staff,62655
109139,Staff,40000
109141,Technique Leader,70671
109147,Engineer,44103
109150,Senior Staff,58114
109152,Technique Leader,51936
109153,Engineer,40000
109155,Engineer,70310
109159,Engineer,50681
109161,Engineer,63556
109164,Engineer,40000
109167,Senior Staff,40000
109168,Senior Engineer,40789
109169,Engineer,41201
109171,Engineer,40000
109172,Senior Staff,55866
109173,Senior Staff,53249
109174,Senior Engineer,40000
109175,Engineer,40000
109180,Senior Staff,57019
109181,Senior Staff,64365
109182,Senior Engineer,62264
109184,Engineer,58234
109185,Assistant Engineer,40000
109189,Senior Staff,73531
109193,Senior Engineer,66788
109196,Staff,50292
109204,Engineer,40000
109205,Senior Staff,40000
109206,Senior Staff,53548
109218,Senior Staff,66523
109223,Engineer,40000
109231,Engineer,40000
109235,Senior Staff,68218
109243,Engineer,40000
109248,Senior Staff,51469
109255,Staff,80973
109261,Senior Staff,43490
109263,Senior Engineer,48514
109264,Assistant Engineer,40000
109267,Technique Leader,44179
109270,Senior Engineer,46267
109273,Staff,66153
109275,Engineer,40000
109280,Engineer,46513
109281,Engineer,51008
109284,Engineer,40000
109285,Senior Staff,40000
109289,Senior Staff,40000
109290,Senior Staff,40000
109291,Engineer,62026
109292,Senior Engineer,40000
109293,Assistant Engineer,59135
109294,Senior Engineer,67916
109295,Assistant Engineer,55931
109303,Senior Engineer,40000
109305,Senior Staff,54588
109306,Senior Staff,61192
109310,Engineer,47694
109311,Senior Staff,65042
109316,Staff,58304
109318,Staff,83039
109323,Engineer,40000
109334,Senior Staff,123668
109341,Engineer,41319
109344,Senior Staff,48900
109345,Senior Staff,40000
109347,Engineer,66780
109349,Staff,40000
109350,Senior Staff,81329
109354,Staff,40000
109355,Senior Staff,40000
109356,Engineer,40000
109358,Staff,44266
109360,Staff,91596
109367,Senior Staff,67881
109369,Engineer,66914
109371,Engineer,40000
109373,Engineer,40000
109376,Staff,81173
109377,Senior Staff,63056
109379,Senior Staff,81401
109380,Senior Staff,91119
109381,Engineer,40122
109389,Senior Staff,82117
109392,Senior Staff,40000
109393,Engineer,48912
109395,Senior Engineer,49640
109400,Senior Staff,40000
109402,Engineer,56539
109413,Senior Engineer,40000
109414,Senior Engineer,40000
109421,Staff,62158
109425,Senior Staff,85391
109427,Senior Staff,40000
109433,Senior Staff,42518
109436,Engineer,65589
109445,Staff,62042
109448,Engineer,57727
109449,Senior Staff,80706
109451,Engineer,40000
109455,Staff,70455
109457,Staff,82632
109465,Engineer,49234
109470,Staff,76886
109481,Engineer,40000
109483,Staff,58846
109491,Engineer,55551
109493,Engineer,57201
109496,Senior Staff,61761
109502,Staff,84630
109504,Staff,40000
109506,Senior Staff,40000
109508,Senior Staff,40000
109512,Senior Staff,48742
109514,Senior Staff,72532
109518,Engineer,64685
109520,Senior Engineer,40000
109524,Staff,63277
109528,Senior Staff,70277
109535,Engineer,50645
109538,Engineer,49212
109539,Engineer,40000
109549,Senior Engineer,40373
109556,Engineer,40000
109559,Senior Staff,40489
109560,Senior Staff,91629
109561,Engineer,40000
109565,Engineer,51822
109566,Staff,40000
109570,Engineer,40000
109575,Engineer,44051
109581,Senior Engineer,40000
109582,Senior Staff,67150
109584,Senior Staff,40000
109591,Engineer,40000
109599,Engineer,40000
109600,Staff,78057
109602,Senior Engineer,54224
109607,Assistant Engineer,40000
109610,Engineer,40000
109612,Senior Engineer,49925
109613,Senior Staff,69834
109615,Assistant Engineer,41687
109621,Engineer,40000
109623,Staff,60639
109625,Engineer,42196
109626,Senior Staff,40000
109630,Senior Staff,48319
109632,Staff,41922
109635,Engineer,40000
109639,Engineer,64481
109642,Engineer,40000
109643,Senior Staff,55418
109650,Engineer,47047
109653,Engineer,40000
109661,Technique Leader,44242
109671,Senior Staff,78626
109672,Engineer,43009
109673,Engineer,62912
109674,Senior Staff,62262
109675,Senior Staff,40000
109678,Senior Staff,40000
109681,Senior Engineer,40000
109684,Staff,40000
109685,Staff,65612
109687,Staff,40000
109691,Senior Staff,45540
109696,Senior Engineer,73870
109699,Engineer,68285
109701,Senior Engineer,40000
109702,Staff,50882
109709,Senior Staff,40000
109710,Technique Leader,48036
109712,Senior Staff,49279
109715,Staff,69414
109726,Engineer,62369
109727,Senior Engineer,60586
109729,Engineer,52488
109730,Engineer,40000
109732,Engineer,40000
109734,Engineer,74932
109736,Technique Leader,40000
109740,Senior Staff,62950
109744,Senior Staff,69117
109747,Senior Staff,61675
109748,Engineer,47780
109761,Technique Leader,65548
109772,Engineer,40000
109773,Senior Staff,62895
109775,Senior Staff,40000
109777,Senior Engineer,40000
109778,Senior Staff,40000
109779,Staff,42120
109781,Senior Staff,69000
109784,Technique Leader,46666
109786,Assistant Engineer,46634
109787,Senior Staff,43871
109790,Engineer,51766
109793,Engineer,40000
109795,Senior Staff,73482
109797,Staff,85234
109798,Technique Leader,64397
109799,Senior Engineer,40368
109801,Assistant Engineer,54073
109804,Senior Engineer,48244
109809,Engineer,41558
109811,Senior Engineer,40000
109812,Staff,40000
109818,Senior Staff,54184
109820,Assistant Engineer,40000
109822,Assistant Engineer,40000
109824,Senior Staff,94388
109827,Technique Leader,40000
109829,Staff,40000
109835,Staff,82987
109837,Senior Staff,40000
109838,Engineer,40000
109846,Senior Engineer,50669
109848,Senior Staff,40000
109851,Senior Staff,49527
109852,Senior Staff,77482
109853,Staff,60409
109859,Staff,40000
109864,Senior Staff,75792
109867,Engineer,40000
109872,Staff,40000
109878,Senior Engineer,57669
109884,Engineer,47175
109885,Senior Staff,40000
109887,Senior Staff,68065
109889,Engineer,53087
109891,Engineer,40000
109894,Engineer,40000
109895,Staff,88439
109898,Engineer,40000
109900,Engineer,48329
109902,Senior Staff,64201
109903,Senior Staff,76816
109904,Senior Engineer,47631
109905,Senior Engineer,40000
109910,Assistant Engineer,40000
109912,Engineer,42901
109915,Senior Staff,40025
109922,Staff,86430
109926,Engineer,40000
109927,Senior Engineer,51130
109928,Senior Staff,65208
109929,Staff,95744
109930,Senior Engineer,40000
109937,Engineer,40000
109938,Engineer,51333
109939,Senior Staff,78834
109940,Staff,52593
109942,Senior Staff,72637
109947,Engineer,41681
109949,Engineer,52796
109950,Technique Leader,50563
109951,Senior Engineer,40000
109966,Senior Staff,87742
109970,Engineer,40000
109973,Staff,69728
109978,Engineer,43423
109979,Engineer,40000
109984,Senior Staff,40000
109987,Senior Staff,55987
109990,Senior Staff,40000
109991,Engineer,40000
109992,Staff,40000
109993,Senior Staff,48668
109996,Senior Staff,79341
109997,Engineer,47339
109998,Staff,59220
109999,Technique Leader,40000
110183,Manager,48291
110386,Manager,40000
110765,Manager,40055
111133,Manager,71148
111534,Manager,48077
111692,Manager,40000
200008,Senior Staff,52321
200009,Senior Staff,40000
200010,Staff,56836
200012,Engineer,40000
200013,Engineer,40000
200019,Engineer,41777
200027,Senior Staff,66755
200030,Senior Engineer,63520
200031,Engineer,55704
200035,Senior Staff,40000
200041,Senior Staff,40000
200047,Senior Staff,40000
200048,Senior Engineer,48983
200050,Engineer,52901
200054,Engineer,42684
200057,Engineer,60889
200060,Engineer,63695
200061,Technique Leader,40000
200066,Engineer,76333
200069,Senior Staff,48019
200070,Engineer,40000
200071,Senior Staff,66862
200074,Senior Staff,72319
200076,Engineer,46716
200078,Senior Engineer,52194
200079,Senior Staff,63691
200088,Senior Staff,48801
200089,Senior Staff,40000
200100,Senior Staff,70139
200103,Engineer,58179
200108,Engineer,40000
200116,Senior Staff,81381
200117,Assistant Engineer,58458
200120,Staff,55474
200128,Senior Engineer,66032
200130,Senior Staff,40000
200133,Senior Staff,61787
200136,Technique Leader,40000
200137,Senior Staff,67324
200140,Engineer,54215
200147,Assistant Engineer,55404
200148,Engineer,58462
200150,Staff,42470
200151,Engineer,42647
200152,Staff,74976
200158,Senior Staff,56114
200159,Staff,73401
200162,Technique Leader,54716
200166,Staff,77035
200170,Engineer,48151
200171,Senior Staff,40000
200173,Engineer,60285
200178,Senior Engineer,41784
200183,Staff,40000
200185,Senior Staff,47315
200189,Engineer,40000
200194,Senior Staff,98834
200196,Engineer,58069
200201,Engineer,100982
200202,Senior Staff,63975
200206,Engineer,40000
200212,Senior Staff,64457
200216,Engineer,70351
200218,Senior Staff,69187
200221,Senior Staff,40000
200225,Senior Staff,79283
200226,Engineer,40000
200227,Senior Engineer,43445
200238,Assistant Engineer,42788
200247,Senior Staff,92900
200250,Senior Staff,85816
200251,Engineer,41507
200256,Senior Staff,40000
200260,Senior Engineer,48903
